test_task,baseline,n_obs,pinball_loss,coverage_90
2,seasonal_naive,744,12.347949418558343,0.8010752688172043
2,climatology,744,5.972477570191159,1.0
3,seasonal_naive,720,6.8182695267489715,0.9430555555555555
3,climatology,720,6.3032214634773664,0.9944444444444445
4,seasonal_naive,744,22.935909139784943,0.4166666666666667
4,climatology,744,19.16990800826364,0.5981182795698925
5,seasonal_naive,744,11.257106780167264,0.782258064516129
5,climatology,744,14.632428731581047,0.782258064516129
6,seasonal_naive,672,10.578446044973546,0.8244047619047619
6,climatology,672,8.907060443121695,0.9255952380952381
7,seasonal_naive,744,9.793119293110314,0.8400537634408602
7,climatology,744,7.642296164874552,0.928763440860215
8,seasonal_naive,720,11.940568672839508,0.7666666666666667
8,climatology,720,7.813635928497941,0.9277777777777778
9,seasonal_naive,744,7.572591397849463,0.907258064516129
9,climatology,744,8.075353628534447,0.9690860215053764
10,seasonal_naive,720,6.6433372839506175,0.9736111111111111
10,climatology,720,10.705433246399178,0.95
11,seasonal_naive,744,7.4628068020708875,0.9247311827956989
11,climatology,744,16.79504784647551,0.7271505376344086
12,seasonal_naive,744,14.019311101154917,0.7795698924731183
12,climatology,744,14.419179796893669,0.7876344086021505
13,seasonal_naive,720,14.433660452674898,0.725
13,climatology,720,6.726747597736626,0.9930555555555556
14,seasonal_naive,744,6.762969334926324,0.9408602150537635
14,climatology,744,6.873434003385106,0.9959677419354839
15,seasonal_naive,720,7.025551954732511,0.9388888888888889
15,climatology,720,6.827628401234568,0.9875
