baseline,quantile,mean_predicted_load,empirical_coverage,calibration_gap
climatology,0.05,95.69305859117841,0.02326868919610855,-0.02673131080389145
climatology,0.25,111.29506048387097,0.23682887133347963,-0.01317112866652037
climatology,0.5,136.07633085088875,0.5018510898983249,0.0018510898983249424
climatology,0.75,174.0697150217614,0.7226974526369688,-0.02730254736303117
climatology,0.95,226.19915364183308,0.9206454355935924,-0.0293545644064076
seasonal_naive,0.05,91.3366580718309,0.08759737766074172,0.03759737766074171
seasonal_naive,0.25,134.31558664325945,0.3783766732499451,0.12837667324994512
seasonal_naive,0.5,154.10308664325945,0.5769660686855387,0.07696606868553868
seasonal_naive,0.75,173.97630092897376,0.7444055848145711,-0.005594415185428914
seasonal_naive,0.95,213.31058664325943,0.9135085216882451,-0.03649147831175481
