test_task,climatology,lightgbm_full,seasonal_naive
2,5.972477570191159,2.087676567500823,12.347949418558343
3,6.3032214634773664,2.409616968421244,6.8182695267489715
4,19.16990800826364,3.4330132415701256,22.935909139784943
5,14.632428731581047,2.9308246415944788,11.257106780167264
6,8.907060443121695,2.605085678771076,10.578446044973546
7,7.642296164874552,2.5574213824862615,9.793119293110314
8,7.813635928497941,2.3539765236715997,11.940568672839508
9,8.075353628534447,2.1592803814137054,7.572591397849463
10,10.705433246399178,3.613190071437102,6.6433372839506175
11,16.79504784647551,2.706683406234531,7.4628068020708875
12,14.419179796893669,7.258549597363077,14.019311101154917
13,6.726747597736626,2.7678937623575965,14.433660452674898
14,6.873434003385106,2.165450520967379,6.762969334926324
15,6.827628401234568,2.469268956237087,7.025551954732511
