test_task,method,pinball_loss,coverage_90
2,seasonal_naive,12.347949418558343,0.8010752688172043
2,climatology,5.972477570191159,1.0
2,lightgbm_full,1.801718624489525,0.8548387096774194
3,seasonal_naive,6.8182695267489715,0.9430555555555555
3,climatology,6.3032214634773664,0.9944444444444445
3,lightgbm_full,2.0138400802969874,0.8291666666666667
4,seasonal_naive,22.935909139784943,0.4166666666666667
4,climatology,19.16990800826364,0.5981182795698925
4,lightgbm_full,3.512363326708061,0.7056451612903226
5,seasonal_naive,11.257106780167264,0.782258064516129
5,climatology,14.632428731581047,0.782258064516129
5,lightgbm_full,2.8482396985512106,0.8185483870967742
6,seasonal_naive,10.578446044973546,0.8244047619047619
6,climatology,8.907060443121695,0.9255952380952381
6,lightgbm_full,2.4942733054009083,0.8601190476190477
7,seasonal_naive,9.793119293110314,0.8400537634408602
7,climatology,7.642296164874552,0.928763440860215
7,lightgbm_full,2.3397686817781347,0.8360215053763441
8,seasonal_naive,11.940568672839508,0.7666666666666667
8,climatology,7.813635928497941,0.9277777777777778
8,lightgbm_full,2.141048555368471,0.7472222222222222
9,seasonal_naive,7.572591397849463,0.907258064516129
9,climatology,8.075353628534447,0.9690860215053764
9,lightgbm_full,1.9299445831099973,0.8239247311827957
10,seasonal_naive,6.6433372839506175,0.9736111111111111
10,climatology,10.705433246399178,0.95
10,lightgbm_full,3.592827632778564,0.7097222222222223
11,seasonal_naive,7.4628068020708875,0.9247311827956989
11,climatology,16.79504784647551,0.7271505376344086
11,lightgbm_full,2.634174903488737,0.8454301075268817
12,seasonal_naive,14.019311101154917,0.7795698924731183
12,climatology,14.419179796893669,0.7876344086021505
12,lightgbm_full,7.16916043065126,0.7204301075268817
13,seasonal_naive,14.433660452674898,0.725
13,climatology,6.726747597736626,0.9930555555555556
13,lightgbm_full,2.7123757780129827,0.7875
14,seasonal_naive,6.762969334926324,0.9408602150537635
14,climatology,6.873434003385106,0.9959677419354839
14,lightgbm_full,2.0116551062819514,0.7916666666666666
15,seasonal_naive,7.025551954732511,0.9388888888888889
15,climatology,6.827628401234568,0.9875
15,lightgbm_full,2.1907973080988357,0.7958333333333333
