method,mean_pinball_loss,std_pinball_loss,n_folds
lightgbm_full,2.813727715358259,1.369002685691052,14
climatology,10.061703773619035,4.362172617126959,14
seasonal_naive,10.685114085967323,4.479534383046382,14
